Quick Sort,Radix Sort,Brute Force,Probabilistic,Size
124,356,1779,3223.5,421
54,231,1970,1434.75,298
98,364,3734,2851.5,411
14,58,132,103.5,77
3,22,16,15.75,26
20,103,363,264.75,128
102,388,5204,3522.75,486
14,95,333,247.5,122
54,259,2014,1452.75,300
55,252,1811,1281.75,280
103,366,4805,3774.75,467
82,338,3907,2645.25,422
95,369,4965,3794.25,474
7,44,57,49.5,50
3,29,30,25.5,36
81,315,3844,2926.5,417
63,333,2744,1935.0,352
13,78,235,177.75,102
14,84,229,173.25,101
29,158,871,607.5,198
31,203,873,613.5,198
51,246,2198,1611.75,315
24,126,470,333.0,145
46,231,1848,1295.25,289
104,401,5388,3572.25,495
84,334,4035,3036.75,428
94,362,4874,3883.5,470
19,121,467,398.25,145
91,318,3507,2423.25,399
3,26,22,21.0,31
54,231,1841,1277.25,289
11,74,210,160.5,97
55,243,2169,1630.5,314
26,123,545,391.5,157
28,144,768,558.0,187
73,296,3296,2345.25,388
100,416,4911,3793.5,474
34,188,1243,939.75,238
42,236,1572,1175.25,267
47,222,1637,1118.25,271
97,362,4173,3038.25,436
89,328,4258,3387.75,439
72,271,2900,2139.0,362
9,58,118,93.75,72
5,38,45,38.25,44
7,56,114,90.0,71
15,93,307,222.75,117
48,256,1951,1384.5,297
28,166,836,585.0,194
13,84,257,192.0,107
1,3,0,0.75,100
11,79,225,168.75,137
23,106,417,303.75,436
91,345,4195,3228.0,114
16,89,290,215.25,404
79,305,3619,2471.25,150
18,130,500,360.75,314
53,246,2177,1608.75,486
106,365,5216,4011.75,266
43,205,1566,1070.25,27
3,23,18,17.25,254
40,195,1426,991.5,490
101,378,5317,4233.0,26
3,23,16,15.75,320
55,242,2271,1664.25,372
72,286,3032,2124.75,284
47,215,1803,1232.25,13
1,13,4,5.25,107
12,83,256,191.25,16
2,14,7,6.0,20
2,18,10,10.5,280
43,212,1747,1197.75,141
22,107,446,324.0,466
111,354,4832,3441.0,430
87,336,4094,3159.75,112
16,103,287,205.5,325
63,250,2355,1717.5,116
14,104,303,219.75,481
105,369,5133,3585.75,58
6,63,77,63.0,395
73,306,3468,2610.75,7
1,9,1,2.25,53
6,44,66,54.0,157
23,141,552,393.75,147
20,113,480,356.25,196
31,165,851,601.5,40
5,33,37,32.25,420
77,320,3890,2957.25,180
26,141,717,509.25,445
96,346,4352,3399.0,181
27,138,725,512.25,80
9,62,143,113.25,402
72,316,3553,2736.0,74
8,59,124,101.25,350
64,313,2662,2011.5,108
15,83,258,195.75,143
19,122,448,329.25,444
85,342,4273,3051.75,437
93,328,4140,3210.75,221
34,182,1060,747.75,1000
348,764,21815,15249.0,1000
311,761,22063,16040.25,1000
310,767,21814,16824.75,1000
318,792,21903,17193.0,1000
